"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2026-03-23T15:06:54.353Z,Album,"Ed Sheeran - - (Deluxe)","Ed Sheeran - Eyes Closed",false,"United States",1673804537,1673804556,"home / album_detail",2026-03-23T15:06:54.353Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2026-03-23T20:27:53.248Z,2026-03-23T20:27:41.585Z,2026-03-23T20:27:41.431Z,194892,194718,194890,AUDIO,0,3,1,206593
2026-03-23T14:30:20.153Z,Album,"Ed Sheeran - - (Deluxe)","Ed Sheeran - Salt Water",false,"United States",1673804537,1673804547,"home / album_detail",2026-03-23T14:30:20.153Z,TRACK_SKIPPED_FORWARDS,2026-03-23T20:27:41.425Z,2026-03-23T20:27:41.585Z,2026-03-23T20:24:48.702Z,239814,239787,239882,AUDIO,0,3,2,421703
2026-03-23T14:27:24.975Z,Album,"Ed Sheeran - - (Deluxe)","Ed Sheeran - Boat",false,"United States",1673804537,1673804546,"home / album_detail",2026-03-23T14:27:24.975Z,TRACK_SKIPPED_FORWARDS,2026-03-23T20:24:48.202Z,2026-03-23T20:22:14.142Z,2026-03-23T20:22:14.095Z,185719,185662,185676,AUDIO,0,4,2,516681
2026-03-13T13:58:14.503Z,Album,"Zara Larsson - Midnight Sun","Zara Larsson - Hot & Sexy",false,"United States",1817499239,1817499525,"home / playlist_detail",2026-03-13T13:58:14.503Z,PLAYBACK_MANUALLY_PAUSED,2026-03-23T19:49:01.229Z,2026-03-23T19:47:14.744Z,2026-03-23T19:47:14.476Z,189623,190085,189351,AUDIO,0,33,10,4984773
2026-03-19T14:00:00.255Z,Album,"Harry Styles - Kiss All The Time. Disco, Occasionally.","Harry Styles - Are You Listening Yet?",false,"United States",1870984032,1870984039,"home / playlist_detail",2026-03-19T14:00:00.255Z,NATURAL_END_OF_TRACK,2026-03-23T19:41:05.610Z,2026-03-23T19:41:05.775Z,2026-03-23T19:37:52.967Z,192443,193068,192400,AUDIO,0,14,5,2660837
2026-03-09T18:14:56.039Z,Album,"Harry Styles - Kiss All The Time. Disco, Occasionally.","Harry Styles - Pop",false,"United States",1870984032,1870984047,"home / playlist_detail",2026-03-09T18:14:56.039Z,TRACK_SKIPPED_FORWARDS,2026-03-23T19:37:52.799Z,2026-03-23T19:37:53.052Z,2026-03-23T19:36:53.231Z,216070,2261363,216026,AUDIO,0,23,11,5643430
2026-03-13T14:08:08.698Z,Album,"Zara Larsson - Midnight Sun","Zara Larsson - The Ambition",false,"United States",1817499239,1817499892,"home / playlist_detail",2026-03-13T14:08:08.698Z,NATURAL_END_OF_TRACK,2026-03-23T19:36:53.219Z,2026-03-23T19:34:57.982Z,2026-03-23T19:34:57.745Z,214760,266026,214705,AUDIO,0,42,8,8508048
2026-03-14T03:21:18.023Z,Album,"Taylor Swift - Midnights (The Til Dawn Edition)","Taylor Swift - Snow On The Beach (feat. Lana Del Rey)",false,"United States",1689131527,1689131534,"home / playlist_detail",2026-03-14T03:21:18.023Z,NATURAL_END_OF_TRACK,2026-03-23T19:24:06.931Z,2026-03-23T19:24:07.003Z,2026-03-23T19:19:50.317Z,256188,256631,256188,AUDIO,0,19,10,3297752
2026-03-13T15:04:26.642Z,Album,"Zara Larsson - Midnight Sun","Zara Larsson - Girl's Girl",false,"United States",1817499239,1817499512,"home / playlist_detail",2026-03-13T15:04:26.642Z,NATURAL_END_OF_TRACK,2026-03-23T19:13:14.961Z,2026-03-23T19:13:14.984Z,2026-03-23T19:10:16.823Z,178303,179598,178241,AUDIO,0,30,12,4003118
2026-03-19T14:03:12.603Z,Album,"Harry Styles - Kiss All The Time. Disco, Occasionally.","Harry Styles - The Waiting Game",false,"United States",1870984032,1870984042,"home / playlist_detail",2026-03-19T14:03:12.603Z,NATURAL_END_OF_TRACK,2026-03-23T19:10:16.790Z,2026-03-23T19:10:16.818Z,2026-03-23T19:07:26.460Z,170003,170330,169960,AUDIO,0,11,3,1436468
