"Total Plays","Last Plays in Sequence","Entry Creation Date","Entry Modification Date","Container Type","Container Description","Track Description","Ignore for recommendations",Country,"Container Reference","Track Reference"
78,1,2026-03-04T22:31:45.026Z,2026-03-04T22:31:45.093Z,Playlist,N/A,N/A,false,"United States","pl.19e0cad995c3481eba600fa7a27d576d",N/A
2,1,2026-03-04T22:22:16.887Z,2026-03-04T22:22:17.015Z,Playlist,N/A,N/A,false,"United States","pl.3de89e62aa3340038e08fa325c3f3f01",N/A
5,1,2026-03-04T05:54:34.316Z,2026-03-04T05:54:34.508Z,Album,"Mitski - Nothing's About to Happen to Me",N/A,false,"United States",1860622550,N/A
42,1,2026-03-03T22:26:38.844Z,2026-03-03T22:26:38.988Z,Playlist,N/A,N/A,false,"United States","pl.89286092fbd6403d8ed3a35a66ee9fbe",N/A
8,1,2026-03-02T18:20:42.245Z,2026-03-02T18:20:42.302Z,Album,"Taylor Swift - Red (Taylor's Version) [Video Deluxe]",N/A,false,"United States",1595423133,N/A
89,1,2026-03-01T22:37:58.517Z,2026-03-01T22:39:16.068Z,Album,"Gracie Abrams - The Secret of Us (Deluxe)",N/A,false,"United States",1775580883,N/A
34,1,2026-03-01T00:31:55.916Z,2026-03-01T00:31:56.161Z,Playlist,N/A,N/A,false,"United States","pl.3950454ced8c45a3b0cc693c2a7db97b",N/A
7,1,2026-02-28T21:59:17.443Z,2026-02-28T21:59:17.854Z,Playlist,N/A,N/A,false,"United States","pl.57891bdd1bc840948374f1c4cbe9c840",N/A
20,1,2026-02-28T21:45:18.644Z,2026-02-28T21:45:18.788Z,Album,"Taylor Swift & Ely Oaks - Opalite (Ely Oaks Remix) - Single",N/A,false,"United States",1878155587,N/A
23,1,2026-02-28T16:41:17.613Z,2026-02-28T16:41:17.616Z,Album,"Taylor Swift - 1989",N/A,false,"United States",1440935467,N/A
44,1,2026-02-27T22:05:59.272Z,2026-02-27T22:05:59.453Z,"Radio Station",N/A,N/A,false,"United States","ra.u-9331bab39b55058b1abb70ff757aa95f",N/A
21,1,2026-02-27T20:44:06.045Z,2026-02-27T20:44:06.271Z,Album,"Tame Impala & JENNIE - Dracula (Remix) - Single",N/A,false,"United States",1874125260,N/A
