Country,"Track Identifier","Media type","Date Played",Hours,"Play Duration Milliseconds","End Reason Type","Source Type","Play Count","Skip Count","Ignore For Recommendations","Track Reference","Track Description"
"United States",884282144,AUDIO,20250101,23,184819,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,false,884282144,"Bleachers - I Wanna Get Better"
"United States",1468058171,AUDIO,20250101,"3, 15",178425,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,1,1,false,1468058171,"Taylor Swift - Cruel Summer"
"United States",1590368745,AUDIO,20250101,17,175460,PLAYBACK_MANUALLY_PAUSED,MACINTOSH,1,0,false,1590368745,"Taylor Swift - Begin Again (Taylor's Version)"
"United States",1698554387,AUDIO,20250101,7,87992,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,1,1,false,1698554387,"AGNEZ MO - Got Me Figured Out"
"United States",1775877096,AUDIO,20250101,8,75280,OTHER,IPHONE,1,0,false,1775877096,"Bleachers - Merry Christmas, Please Don't Call"
"United States",1742058105,AUDIO,20250101,20,40366,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,false,1742058105,"Taylor Swift - The Smallest Man Who Ever Lived"
"United States",1742057775,AUDIO,20250101,19,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1742057775,"Taylor Swift - Fortnight (feat. Post Malone)"
"United States",1486465101,AUDIO,20250101,16,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",MACINTOSH,0,1,false,1486465101,"Doja Cat - Say So"
"United States",884282120,AUDIO,20250101,8,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,884282120,"Bleachers - Rollercoaster"
"United States",1567285165,AUDIO,20250101,8,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1567285165,"Bleachers - Stop Making This Hurt"
"United States",1468058176,AUDIO,20250101,3,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,1468058176,"Taylor Swift - The Man"
"United States",1716610840,AUDIO,20250101,7,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,N/A,"Isabella Lovestory - Fuetazo (feat. Villano Antillano)"
"United States",1552791558,AUDIO,20250101,3,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,1552791558,"Taylor Swift - You Belong With Me (Taylor’s Version)"
"United States",1577417932,AUDIO,20250101,7,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,N/A,"Ben Hemsley - Bebé Música"
"United States",1334779519,AUDIO,20250101,8,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1334779519,"Bleachers - Alfie's Song (Not So Typical Love Song)"
"United States",884282148,AUDIO,20250101,8,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,884282148,"Bleachers - Like a River Runs"
"United States",1460840853,AUDIO,20250101,16,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",MACINTOSH,0,1,false,1460840853,"Shawn Mendes - If I Can't Have You"
"United States",1567285160,AUDIO,20250101,8,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1567285160,"Bleachers - Chinatown (feat. Bruce Springsteen)"
"United States",1702583449,AUDIO,20250102,"0, 18, 19",496994,NATURAL_END_OF_TRACK,IPHONE,3,1,false,1702583449,"Bleachers - Modern Girl"
"United States",1567285160,AUDIO,20250102,18,244189,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1567285160,"Bleachers - Chinatown (feat. Bruce Springsteen)"
"United States",1712730492,AUDIO,20250102,18,228322,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1712730492,"Bleachers - Tiny Moves"
"United States",884282144,AUDIO,20250102,"18, 19",226055,OTHER,IPHONE,2,1,false,884282144,"Bleachers - I Wanna Get Better"
"United States",1225759944,AUDIO,20250102,18,217976,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1225759944,"Bleachers - I Miss Those Days"
"United States",1225759939,AUDIO,20250102,0,215539,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1225759939,"Bleachers - Don't Take the Money"
"United States",1225759942,AUDIO,20250102,18,186044,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1225759942,"Bleachers - Let's Get Married"
"United States",1334779519,AUDIO,20250102,"0, 18",181104,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,false,1334779519,"Bleachers - Alfie's Song (Not So Typical Love Song)"
"United States",884282119,AUDIO,20250102,18,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,884282119,"Bleachers - Wild Heart"
"United States",884282145,AUDIO,20250102,0,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,884282145,"Bleachers - Wake Me"
"United States",1742057775,AUDIO,20250102,0,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,1742057775,"Taylor Swift - Fortnight (feat. Post Malone)"
"United States",1042007986,AUDIO,20250102,"0, 18",0,TRACK_SKIPPED_FORWARDS,IPHONE,0,2,false,1042007986,"Bleachers & Sia - Like a River Runs"
"United States",1742058100,AUDIO,20250102,18,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,1742058100,"Taylor Swift - Who’s Afraid of Little Old Me?"
"United States",1567285161,AUDIO,20250102,18,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1567285161,"Bleachers - How Dare You Want More"
"United States",1225759940,AUDIO,20250102,18,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1225759940,"Bleachers - Everybody Lost Somebody"
"United States",884282148,AUDIO,20250102,18,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,884282148,"Bleachers - Like a River Runs"
"United States",1225759938,AUDIO,20250102,18,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1225759938,"Bleachers - Hate That You Know Me"
"United States",1225759939,AUDIO,20250103,3,215539,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1225759939,"Bleachers - Don't Take the Money"
"United States",1524801964,AUDIO,20250103,3,190000,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1524801964,"Taylor Swift - illicit affairs"
"United States",1702583449,AUDIO,20250103,3,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,1702583449,"Bleachers - Modern Girl"
"United States",1567285165,AUDIO,20250103,3,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,1567285165,"Bleachers - Stop Making This Hurt"
"United States",1225759939,AUDIO,20250104,"1, 4, 19",567278,NATURAL_END_OF_TRACK,IPHONE,3,1,false,1225759939,"Bleachers - Don't Take the Money"
"United States",1742058078,AUDIO,20250104,19,293085,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1742058078,"Taylor Swift - The Tortured Poets Department"
"United States",1742057775,AUDIO,20250104,19,228965,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1742057775,"Taylor Swift - Fortnight (feat. Post Malone)"
"United States",1742058079,AUDIO,20250104,19,203845,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1742058079,"Taylor Swift - My Boy Only Breaks His Favorite Toys"
"United States",1712730492,AUDIO,20250104,1,192038,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,1,1,false,1712730492,"Bleachers - Tiny Moves"
"United States",1702583449,AUDIO,20250104,3,100240,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,false,1702583449,"Bleachers - Modern Girl"
