"Application","Apple ID Number","Device Identifier","IP Address","Logged In Date","Signon Status","StoreFront Name"
"iCloud Account Services","20393913896","","149.31.156.29","2024-09-22T18:53:06.000Z","0",""
"iCloud Account Services","20393913896","","149.31.156.29","2024-09-22T20:52:17.000Z","0",""
"iTunes Music Store","20393913896","00008120-0001391921F8201E","207.38.207.146","2024-09-08T10:22:20.000Z","0","United States"
"iCloud Account Services","20393913896","","50.74.200.125","2024-09-03T16:19:52.000Z","0",""
"iCloud Account Services","20393913896","","50.74.200.125","2024-09-03T16:07:21.000Z","0",""
"iCloud Account Services","20393913896","","50.74.200.125","2024-09-03T16:07:20.000Z","0",""
"iCloud Account Services","20393913896","","50.74.200.125","2024-09-03T16:19:51.000Z","0",""
"iCloud Account Services","20393913896","","149.102.227.116","2024-08-15T06:01:46.000Z","0",""
"iCloud Account Services","20393913896","","149.102.227.116","2024-08-15T06:01:47.000Z","0",""
"FaceTime","20393913896","","207.38.207.146","2024-08-10T00:11:37.000Z","0",""
"iCloud Account Services","20393913896","","207.38.207.146","2024-08-10T00:11:37.000Z","0",""
"iCloud Account Services","20393913896","","37.19.220.195","2024-08-07T19:23:12.000Z","0",""
"iCloud Account Services","20393913896","","37.19.220.195","2024-08-08T17:24:54.000Z","0",""
"iCloud Account Services","20393913896","","37.19.220.195","2024-08-06T17:47:50.000Z","0",""
"iCloud Account Services","20393913896","","37.19.220.195","2024-08-06T17:47:51.000Z","0",""
"iCloud Account Services","20393913896","","45.144.115.25","2024-08-02T13:05:43.000Z","0",""
"iCloud Account Services","20393913896","","45.144.115.25","2024-08-02T15:38:50.000Z","0",""
"FaceTime","20393913896","","45.144.115.25","2024-08-02T04:24:26.000Z","0",""
"iCloud Account Services","20393913896","","45.144.115.25","2024-08-02T15:38:49.000Z","0",""
"iCloud Account Services","20393913896","","45.144.115.25","2024-08-02T08:22:22.000Z","0",""
"iCloud Account Services","20393913896","","45.144.115.25","2024-08-02T15:38:51.000Z","0",""
"iCloud Account Services","20393913896","","45.144.115.25","2024-08-02T08:22:21.000Z","0",""
"iCloud Account Services","20393913896","","45.144.115.25","2024-08-02T04:24:26.000Z","0",""
"iCloud Account Services","20393913896","","149.88.106.141","2024-07-23T19:14:31.000Z","0",""
"iCloud Account Services","20393913896","","149.88.106.141","2024-07-23T19:14:30.000Z","0",""
"iTunes Music Store","20393913896","109F41B22861","207.38.207.146","2024-07-21T17:09:31.000Z","0","United States"
"iTunes Music Store","20393913896","00008120-0001391921F8201E","207.38.207.146","2024-07-18T09:09:52.000Z","0","United States"
