"Developer","Application","Consented Date","User ID","Shared Info","Forwarded Email","Shared Email","Consented Device","Consented OS Version","Sharing Indicator"
"Adobe Inc.","Adobe Scan","2026-01-29 07:55:39.884","000694.6776a84767a04f3a8a3d4bb49dbfbfb8.0755","name,email","N/A","j**********@gmail.com","iPhone 17","iPhone OS 26.3","No"
"Visual Supply Company","VSCO","2026-01-27 00:20:22.153","000694.de8c8c934d154efaa91eb309613cd4fc.0020","email","N/A","j**********@gmail.com","iPhone 17","iPhone OS 26.3","No"
"BioWink GmbH","Clue AppStore App","2026-01-02 11:27:17.121","000694.c732142aa95e4233b2f6531ceb9b0d1c.1127","email,name","N/A","j**********@gmail.com","iPhone 17","iPhone OS 26.3","No"
"Too Good To Go ApS","TGTG","2025-07-14 08:17:07.628","000694.7854507f5fb9430c9e69f774cf8a10cf.0817","name,email","N/A","j**********@gmail.com","iPhone 14 Pro","iPhone OS 26.0","No"
